A	a	N_A_se.wav	A_se.wav	Adam	se_Adam.wav	adam80.jpg
B	b	N_B_se.wav	B_se.wav	bil	se_bil.wav	car80.jpg
C	c	N_C_se.wav	C_se.wav	cykel	se_cykel.wav	bicicletta80.jpg
D	d	N_D_se.wav	D_se.wav	dörr	se_dörr.wav	porta80.jpg
E	e	N_E_se.wav	E_se.wav	Eva	se_Eva.wav	eva80.jpg
F	f	N_F_se.wav	F_se.wav	fisk	se_fisk.wav	pesce80.jpg
G	g	N_G_se.wav	G_se.wav	glass	se_glass.wav	gelato80.jpg
H	h	N_H_se.wav	H_se.wav	hund	se_hund.wav	cane80.jpg
I	i	N_I_se.wav	I_se.wav	Ida	se_Ida.wav	ida80.jpg
J	j	N_J_se.wav	J_se.wav	jacka	se_jacka.wav	giacca80.jpg
K	k	N_K_se.wav	K_se.wav	katt	se_katt.wav	cat80.jpg
L	l	N_L_se.wav	L_se.wav	lampa	se_lampa.wav	lampada80.jpg
M	m	N_M_se.wav	M_se.wav	morot	se_morot.wav	carota80.jpg
N	n	N_N_se.wav	N_se.wav	nyckel	se_nyckel.wav	key.jpg
O	o	N_O_se.wav	O_se.wav	ost	se_ost.wav	Parmigiano_reggiano_80.jpg
P	p	N_P_se.wav	P_se.wav	päron	se_päron.wav	pear80.jpg
Q	q	N_Q_se.wav		-		QuestionMark.png
R	r	N_R_se.wav	R_se.wav	radio	se_radio.wav	radio80.jpg
S	s	N_S_se.wav	S_se.wav	sol	se_sol.wav	Soleil80.JPG
T	t	N_T_se.wav	T_se.wav	TV	se_TV.wav	TV-Braun_HF_1_80.jpg
U	u	N_U_se.wav	U_se.wav	uggla	se_uggla.wav	owl80.jpg
V	v	N_V_se.wav	V_se.wav	vaska	se_vaska.wav	borsetta80.jpg
W	w	N_W_se.wav		-		QuestionMark.png
X	x	N_X_se.wav		-		QuestionMark.png
Y	y	N_Y_se.wav	y_se.wav	yxa	se_yxa.wav	ascia80.jpg
Z	z	N_Z_se.wav		-		QuestionMark.png
Å	å	N_Å_se.wav	Å_se.wav	åsna	se_åsna.wav	asino80.jpg
Ä	ä	N_Ä_se.wav	ä_se.wav	äpple	se_äpple.wav	mela80.jpg
Ö	ö	N_Ö_se.wav	ö_se.wav	öga	se_öga.wav	occhio80.jpg
